3/26/2019,@Ashwin28,"Finally #VarunGandhi & #ManekaGandhi got tickets. Son got @BJP4India ticket from #Pilibhit &amp; Mother from #Sultanpur. So, #VarunGandhi won't join #Congress. #LokSabhaElections2019 #LokSabhaElection2019 #LokSabha2019 #LokSabhaElections #India #IndiaElects #IndiaElections2019 #BJP",176,630,India,negative
3/26/2019,@gopalreports,"""In the 2014 election, Mohan Kundariya had won Rajkot Lok Sabha seat by 2.46 lakh votes. Let us all resolve to make Kundariya victorious by more than 3 lakh votes this election,"" says Narhari Amin, BJP in-charge of Rajkot Parliamentary seat #LokSabhaElection2019 @IndianExpress",1166,479,"Rajkot, Gujarat",positive
3/26/2019,@shivsharmaIND,"BJP releases another list of candidates for #LokSabhaElection2019 - Jaya Prada to contest from Rampur, Varun Gandhi from Pilibhit, Maneka Gandhi from Sultanpur, Rita Bahuguna Joshi from Allahabad",1198,1308,"Delhi, India",negative
3/26/2019,@gopalreports,"I want to assure you that in entire country, the atmosphere is for Modi becoming PM one more time: Prabhu #LokSabhaElection2019 @IndianExpress",1166,479,"Rajkot, Gujarat",positive
3/26/2019,@gopalreports,"We want to win this election to change ""takdir and tasvir"" of the country: Prabhu #LokSabhaElection2019 @IndianExpress",1166,479,"Rajkot, Gujarat",positive
3/26/2019,@gopalreports,Just imagine what would have been the condition of farmers had our government not adopted policies for farmers: Prabhu #LokSabhaElection2019 @IndianExpress,1166,479,"Rajkot, Gujarat",negative
3/26/2019,@primenewstime1,Interesting contest expected at Rampur.Jaya Prada from #BJP will take on Azam Khan of @samajwadiparty #LokSabhaElection2019 @yadavakhilesh,77,381,"Sydney, New South Wales",negative
3/26/2019,@rajracing19,Dont really care who wins the elections....Mumbai roads will be the same @BJP4India @INCIndia @narendramodi @ShivSena #LokSabhaElections2019 #LokSabhaElection2019,593,646,"Mumbai, Maharashtra, India",positive
3/26/2019,@AndrewWL2018,"A young, dynamic, hard working man like @Tejasvi_Surya deserves to be in the #LokSabha. Hope the voters will give him a chance to prove himself in #Parliament. Best wishes to you, young man, and may you emerge victorious! #LokSabhaElection2019",46,86,,negative
3/26/2019,@journosaurav,"BJP releases another list of candidates for #LokSabhaElection2019 - Jaya Prada to contest from Rampur, Varun Gandhi from Pilibhit, Maneka Gandhi from Sultanpur, Rita Bahuguna Joshi from Allahabad",11763,1306,,negative
3/26/2019,@shax_himanshu,"Victory March of BJP starts from Arunachal Pradesh: Sir Kento Jini has won (uncontested) from Alo East constituency. Jo Bina Lade Hi Jung Jeet Jaaye, Wo Modi. #LokSabhaElection2019",41,95,"Kalkaji, New Delhi",positive
3/26/2019,@udhayasoorya91,"I will vote in this election considering issues like Unemployment, Farmers crisis, Communal Violence, Inequality, Enviornmental destruction, Mob Lynchings, Women Safety, Ganga Cleaning, Air Pollution etc #LokSabhaElections2019 #LokSabhaElection2019",183,96,"Baden-Württemberg, Germany",negative
3/26/2019,@rajukcm,Best #Wishes @girishgoa Ji for #LokSabhaElection2019 @INCIndia @INCGoa,306,360,,negative
