KrishPk8,"{'PhirEkBaarModiSarkar', 'PadmaAwards', 'Abhinandan', 'MainBhiChowkidar', 'BJPVijaySankalpBikeRally', 'PMNarendraModi', 'WhyModiAgain', 'bjp', 'IndiaUnited', 'PresidentKovind'}"
JenaSeetal,"{'MeinBhiChowkidar', 'SanchiBaat'}"
ptdeeppandya,"{'BJP', 'NewOdisha'}"
3rd_Handle,"{'RakshaMantri', 'ManoharParrikar', 'BJP', 'Karyakarta'}"
sangeeta_kalyan,"{'NarendraModi', 'election'}"
donotreply2384,"{'Goa', 'ManoharParrikar', 'BJP', 'PriyankaGandhi'}"
mukki008,"{'WeMissManoharParrikar', 'GOA', 'Nitingadkari', 'VampireCongress', 'ManoharParikkar', 'GOA🤣🤣'}"
alamdar1961,"{'WeMissManoharParrikar', 'GOA', 'Nitingadkari', 'VampireCongress', 'ManoharParikkar', 'GOA🤣🤣'}"
S_k_chaudhary,"{'BJP', 'TimesNow', 'ChowkidarChorHai'}"
DN_Chary,"{'Chowkidar', 'BJP', 'CheatIndia', 'petrol', 'Jumla', 'ElectionCommission'}"
iJaydipRathod,{'BJp'}
ranganaathan,"{'RakshaMantri', 'ManoharParrikar', 'BJP', 'Karyakarta'}"
kalyugyaar,"{'WeMissManoharParrikar', 'GOA', 'Nitingadkari', 'VampireCongress', 'ManoharParikkar', 'GOA🤣🤣'}"
GirjeshJadoun1,"{'BJP', 'LokSabhaElections2019'}"
TOICitiesNews,"{'ये_पब्लिक_है_ये_सब_जानती_है', 'युवाओं', 'BJP', 'secret', 'शिक्षामित्रों', '69000_शिक्षक_भर्ती', '68500_शिक्षक_भर्ती', 'CourtCase', 'ये_ज्ञान_अनमोल_है', '12460_शून्य_जनपद', 'ये_कैसा_रोजगार', 'BattleOf2019'}"
nancy_viji,"{'JarpumGamlin', 'BJP', 'ArunachalPradesh'}"
polticalquest,"{'AIADMKAlliance', 'MakkalNeedhiMaiam', 'BJP', 'TamilNadu', 'AMMK', 'DMKAlliance', 'INC', 'ELECTIONBREAKING', 'AAP', 'TNelections2019', 'DMDK', 'Elections2019'}"
manojku08896988,"{'IndiraGandhi', 'BJP', 'RIPParrikar', 'ManoharParrikar', 'ModiGovt', 'RIP', 'RajivGandhi'}"
vikavi_k,"{'jagoIndiajago', 'MainBhiBerozgar', 'eletion', 'MainBhiChowkidar', 'BJP', 'dirtypolitics'}"
Dheerendra4Raj,"{'NarendraModi', 'BJP', 'ChowkidarChorHai', 'KiaHuwaTeriWada'}"
Aryango49660700,"{'Congress', 'ChowkidarPhirSe', 'bjp'}"
TheStatesmanLtd,"{'TimesNow', 'BJP', 'ChowkidarChorHai'}"
haroonsheikh786,"{'BJP', 'LokSabhaElections2019'}"
mrityunjaybose,"{'TimesNow', 'BJP', 'ChowkidarChorHai'}"
LalchandPurohit,"{'Goa', 'BJP'}"
INDIADefeatmodi,"{'RIPManoharParrikar', 'bsp', 'bjp', 'aap', 'news', 'congress', 'sports', 'india'}"
surajrenucomm,"{'TimesNow', 'BJP', 'ChowkidarChorHai'}"
khushal25456075,"{'with', 'AbkiBaarPhirModiSarkar', 'KahoDilSeModiPhirSe', 'National_Spokesperson', 'BJPVijaySankalpBikeRally', 'NamoAgain', 'YuvaWantsModi', 'BJP', 'bhajpa', 'BJP4India', 'BJYM', 'india'}"
iamreyaj_001,{'BJP'}
LOTUS_________,{'BJP'}
baldeep61423140,"{'VampireCongress', 'Nitingadkari', 'GOA', 'WeMissManoharParrikar', 'ManoharParikkar', 'GOA🤣🤣'}"
activator_n,"{'election', 'NarendraModi'}"
ImPrajyotMishra,"{'RIPManoharParrikar', 'bsp', 'bjp', 'aap', 'news', 'congress', 'sports', 'india'}"
redpixnews,"{'Congress', 'Mayawati', 'Modi', 'Varanasi', 'Mindtree', 'BJP', 'Kashmiri', 'SubrotoBagchi'}"
surajrenucomm,"{'hraja', 'thamizhazhithangapandiyan', 'MKStalin', 'DMK', 'BJP', 'dmkcandidates', 'thamilnews'}"
KrishPk8,"{'MainBhiChowkidar', 'PadmaAwards', 'PhirEkBaarModiSarkar', 'BJPVijaySankalpBikeRally', 'WhyModiAgain', 'Abhinandan', 'PresidentKovind', 'bjp', 'PMNarendraModi', 'IndiaUnited'}"
JenaSeetal,"{'MeinBhiChowkidar', 'SanchiBaat'}"
ptdeeppandya,"{'NewOdisha', 'BJP'}"
3rd_Handle,"{'RakshaMantri', 'Karyakarta', 'ManoharParrikar', 'BJP'}"
sangeeta_kalyan,"{'election', 'NarendraModi'}"
donotreply2384,"{'Goa', 'ManoharParrikar', 'BJP', 'PriyankaGandhi'}"
mukki008,"{'VampireCongress', 'Nitingadkari', 'GOA', 'WeMissManoharParrikar', 'ManoharParikkar', 'GOA🤣🤣'}"
alamdar1961,"{'VampireCongress', 'Nitingadkari', 'GOA', 'WeMissManoharParrikar', 'ManoharParikkar', 'GOA🤣🤣'}"
S_k_chaudhary,"{'TimesNow', 'BJP', 'ChowkidarChorHai'}"
DN_Chary,"{'CheatIndia', 'Jumla', 'ElectionCommission', 'Chowkidar', 'petrol', 'BJP'}"
iJaydipRathod,{'BJp'}
ranganaathan,"{'RakshaMantri', 'Karyakarta', 'ManoharParrikar', 'BJP'}"
kalyugyaar,"{'VampireCongress', 'Nitingadkari', 'GOA', 'WeMissManoharParrikar', 'ManoharParikkar', 'GOA🤣🤣'}"
GirjeshJadoun1,"{'BJP', 'LokSabhaElections2019'}"
TOICitiesNews,"{'शिक्षामित्रों', 'CourtCase', 'युवाओं', 'BattleOf2019', '69000_शिक्षक_भर्ती', '68500_शिक्षक_भर्ती', '12460_शून्य_जनपद', 'ये_पब्लिक_है_ये_सब_जानती_है', 'ये_ज्ञान_अनमोल_है', 'ये_कैसा_रोजगार', 'BJP', 'secret'}"
nancy_viji,"{'ArunachalPradesh', 'BJP', 'JarpumGamlin'}"
polticalquest,"{'AIADMKAlliance', 'MakkalNeedhiMaiam', 'DMDK', 'AAP', 'ELECTIONBREAKING', 'INC', 'TNelections2019', 'DMKAlliance', 'AMMK', 'BJP', 'TamilNadu', 'Elections2019'}"
manojku08896988,"{'RIP', 'IndiraGandhi', 'ManoharParrikar', 'RajivGandhi', 'RIPParrikar', 'BJP', 'ModiGovt'}"
vikavi_k,"{'MainBhiChowkidar', 'MainBhiBerozgar', 'dirtypolitics', 'jagoIndiajago', 'BJP', 'eletion'}"
Dheerendra4Raj,"{'ChowkidarChorHai', 'NarendraModi', 'KiaHuwaTeriWada', 'BJP'}"
"{'LokSabhaElections2019', 'BJP'}","{'Congress', 'ChowkidarPhirSe', 'bjp'}"
"{'ChowkidarChorHai', 'TimesNow', 'BJP'}",
"{'Goa', 'BJP'}",
"{'bjp', 'india', 'sports', 'aap', 'news', 'RIPManoharParrikar', 'bsp', 'congress'}",
"{'ChowkidarChorHai', 'TimesNow', 'BJP'}",
"{'india', 'BJP', 'with', 'BJPVijaySankalpBikeRally', 'bhajpa', 'NamoAgain', 'National_Spokesperson', 'BJP4India', 'YuvaWantsModi', 'KahoDilSeModiPhirSe', 'AbkiBaarPhirModiSarkar', 'BJYM'}",
{'BJP'},
{'BJP'},
"{'LokSabhaElections2019', 'BJP'}",
"{'ChowkidarChorHai', 'TimesNow', 'BJP'}",
"{'Goa', 'BJP'}",
"{'bjp', 'india', 'sports', 'aap', 'news', 'RIPManoharParrikar', 'bsp', 'congress'}",
"{'ChowkidarChorHai', 'TimesNow', 'BJP'}",
"{'india', 'BJP', 'with', 'BJPVijaySankalpBikeRally', 'bhajpa', 'NamoAgain', 'National_Spokesperson', 'BJP4India', 'YuvaWantsModi', 'KahoDilSeModiPhirSe', 'AbkiBaarPhirModiSarkar', 'BJYM'}",
{'BJP'},
{'BJP'},
"{'WeMissManoharParrikar', 'VampireCongress', 'GOA🤣🤣', 'ManoharParikkar', 'Nitingadkari', 'GOA'}",
"{'NarendraModi', 'election'}",
"{'bjp', 'india', 'sports', 'aap', 'news', 'RIPManoharParrikar', 'bsp', 'congress'}",
"{'BJP', 'Kashmiri', 'Modi', 'Mayawati', 'Varanasi', 'Congress', 'Mindtree', 'SubrotoBagchi'}",
"{'thamilnews', 'BJP', 'DMK', 'MKStalin', 'thamizhazhithangapandiyan', 'hraja', 'dmkcandidates'}",
"{'bjp', 'MainBhiChowkidar', 'PadmaAwards', 'Abhinandan', 'BJPVijaySankalpBikeRally', 'PhirEkBaarModiSarkar', 'IndiaUnited', 'PresidentKovind', 'PMNarendraModi', 'WhyModiAgain'}",
"{'SanchiBaat', 'MeinBhiChowkidar'}",
"{'NewOdisha', 'BJP'}",
"{'RakshaMantri', 'BJP', 'ManoharParrikar', 'Karyakarta'}",
"{'NarendraModi', 'election'}",
"{'PriyankaGandhi', 'Goa', 'BJP', 'ManoharParrikar'}",
"{'WeMissManoharParrikar', 'VampireCongress', 'GOA🤣🤣', 'ManoharParikkar', 'Nitingadkari', 'GOA'}",
"{'WeMissManoharParrikar', 'VampireCongress', 'GOA🤣🤣', 'ManoharParikkar', 'Nitingadkari', 'GOA'}",
"{'ChowkidarChorHai', 'TimesNow', 'BJP'}",
"{'BJP', 'Jumla', 'CheatIndia', 'Chowkidar', 'petrol', 'ElectionCommission'}",
{'BJp'},
"{'RakshaMantri', 'BJP', 'ManoharParrikar', 'Karyakarta'}",
"{'WeMissManoharParrikar', 'VampireCongress', 'GOA🤣🤣', 'ManoharParikkar', 'Nitingadkari', 'GOA'}",
"{'LokSabhaElections2019', 'BJP'}",
