18,ShivdeepRaghu1c,3919,"Ashoknagar, Madhya Pradesh","{'poor', 'powerless.', 'rich', 'bjp', 'powerful'}","Just reminding @RadhamohanBJP Ji that #farmers have not forgotten this, and will give you a befitting reply. I do not know about Bihar, but #farmers #rural populace in #West U.P, #Punjab &amp; #Haryana will swipe the smirk from the face of every #BJP Neta.  #Elections2019 https://t.co/pKOTIogdlC"
4,Kris7na,176,"Hyderabad, India","{'SCS', 'BJP', 'TDP', 'Telugu'}","#VijaySankalpBikeRally. A huge numbers of BIKES in rally started in Versova Constituency. Thanking to all Karyakartas. 
#BJPVijaySankalpBikeRally #BJP #BJPVIjaySanka 
#NaMoAgain2019 #VijaySankalp @narendramodi @CMOMaharashtra @Dev_Fadnavis @Manekagandhibjp @yogirajdabhadka https://t.co/aZjYv2GfDY"
42,iamvitthalss,354,BHARAT,{'BJP'},"#VijaySankalpBikeRally. A huge numbers of BIKES in rally started in Versova Constituency. Thanking to all Karyakartas. 
#BJPVijaySankalpBikeRally #BJP #BJPVIjaySanka 
#NaMoAgain2019 #VijaySankalp @narendramodi @CMOMaharashtra @Dev_Fadnavis @Manekagandhibjp @yogirajdabhadka https://t.co/TEOgNSMluw"
198,akddubby,79,,"{'LokSabhaElections2019', 'MurliManoharJoshi'}","#VijaySankalpBikeRally. A huge numbers of BIKES in rally started in Versova Constituency. Thanking to all Karyakartas. 
#BJPVijaySankalpBikeRally #BJP #BJPVIjaySanka 
#NaMoAgain2019 #VijaySankalp @narendramodi @CMOMaharashtra @Dev_Fadnavis @Manekagandhibjp @yogirajdabhadka https://t.co/BXxgFETqlZ"
0,DebasishGurap,1232,,"{'bengalwithmodi', 'mainbhochowkidar', 'thanksforlike', 'Loksabha2019', 'BJP'}","#VijaySankalpBikeRally. A huge numbers of BIKES in rally started in Versova Constituency. Thanking to all Karyakartas. 
#BJPVijaySankalpBikeRally #BJP #BJPVIjaySanka 
#NaMoAgain2019 #VijaySankalp @narendramodi @CMOMaharashtra @Dev_Fadnavis @Manekagandhibjp @yogirajdabhadka https://t.co/XfN7Urec72"
472,iammqh,12234,Delhi,"{'GDP', 'ChowkidarChorHai', 'GDP,', 'BJP.'}","I have now from last two days started believing in #Karma particularly after #BJP denied loksabha ticket to #Advani j
.
.
But I think he deserved a respected departure now it looks like humiliation https://t.co/SDIyoSRtvy"
31,aninditadasgu10,918,India,{'BJP'},"Congratulations @BJP4India
BJP wins Alo East constituency in Arunachal Pradesh https://t.co/cUDGcxW3Xf #AloEast #ArunachalPradesh #BJP via @rightlog_in @Republic_Bharat @republic @ZeeNewsHindi @gauravbh @BJPcentralmedia @narendramodi @TimesNow @DrGPradhan @prettypadmaja"
7,Ashwin_Khann,1334,All over the world,"{'LokSabhaElections2019', 'LokSabhaElections', 'IN', 'NOTA', 'VoteKar', 'JustSaying', 'BJP'}",@im_vamsikiran @Seems3r @narendramodi When #VijayMallya #NiravModi #MehulChoksi made 'huge' assets who was ruling the country...??? #Congress when they ran away who is ruling..??? #BJP .When their properties are being damaged and sold off along with their
76,darjeelingey1,63,"Darjeeling, India","{'farmers', 'Punjab', 'Elections2019', 'rural', 'West', 'Haryana', 'BJP'}",#JayaPrada leaves SP to join #BJP; says she is honoured to work under PM #NarendraModi's leadership - https://t.co/I1act1Pb1u
34,Nasreen63823971,0,,"{'NaMoAgain2019', 'VijaySankalpBikeRally.', 'BJPVijaySankalpBikeRally', 'BJPVIjaySanka', 'VijaySankalp', 'BJP'}","NO..ZERO..MEDIA SHOWING THIS,STING OF CENTURY, ON #DEMONETISATION OF #BJP..&amp; IT'S REAL #MONEYLAUNDERING INTENT!

SHOWS HOW DANGEROUSLY ANTI NATL INTT,OUR 4TH ESTATE,OUR JOURNALISM HAS BECOME..OFCOURSE THAT'S IF THEY CONSIDERED TRUTH &amp; CITIZENS AS IT'S INTT.https://t.co/Yqjsq2PCPS"
25,Nasreen63823971,0,,"{'NaMoAgain2019', 'VijaySankalpBikeRally.', 'BJPVijaySankalpBikeRally', 'BJPVIjaySanka', 'VijaySankalp', 'BJP'}",External Affairs Minister Hon. Sushma Swaraj Ji Addressed to Women's Present in  #महिला मेळावा .#BJP #WomanEmpowerment. @narendramodi @SushmaSwaraj @Dev_Fadnavis @CMOMaharashtra @Manekagandhibjp @MinistryWCD @yogirajdabhadka https://t.co/9PEuFSqsO1
25,Nasreen63823971,0,,"{'NaMoAgain2019', 'VijaySankalpBikeRally.', 'BJPVijaySankalpBikeRally', 'BJPVIjaySanka', 'VijaySankalp', 'BJP'}","BJP picks up two assembly seats ‘uncontested’ in Arunachal Pradesh: Madhav
#BJP #assemblyseats #uncontested #ArunachalPradesh #RamMadhav #AssemblyElections #SirKentoJini #TabaTedir #AloEast #LokSabhaElections2019 #LokSabhaElection2019 
https://t.co/d8UA9uyGo0"
27,Nasreen63823971,0,,"{'NaMoAgain2019', 'VijaySankalpBikeRally.', 'BJPVijaySankalpBikeRally', 'BJPVIjaySanka', 'VijaySankalp', 'BJP'}","@sachinsurya200 @Tejasvi_Surya #BJP=Brahmin Janatha Party!

Every time he say Muslims 
What Muslims given this  Country !
That so far Till the date Brahmins dint give"
18,sfnk77,140,"Kausa, Thane","{'Karma', 'BJP', 'Advani'}","Pick of the Day
 https://t.co/W8Wkjq1g0z  

#BJP #PMO #AICC #KPCC #Financeminister #MullappallyRamachandran #LokSabhaElections2019 #CongIncomePromise #MinimumIncomeGuarantee  #PoliTRICKS #IndianPoliTRICKS #CommonManKiBaat #CommonManAsks #CommonPeopleSuffer #PenNewsPick https://t.co/yx5FEeGddh"
5,AkKhanna61,1565,"Haryana, India.","{'AloEast', 'ArunachalPradesh', 'BJP'}",It’s getting interesting. The plot is unraveling. The #BJP is collapsing. https://t.co/Mvxqt13iyi
0,iamahindustanii,142,UT,"{'MehulChoksi', 'VijayMallya', 'NiravModi', 'Congress', 'BJP'}","@TheDarjChron @BJP4India Hadn't heard this slogan for a while.
Literally soothing to the soul!

#GorkhasUnite
#GJMGNLFAlliance
#BJP 

JAI GORKHA!JAI GORKHALAND!
JAIHIND!
VANDE MATARAM!!✊✊"
2,AbhiraajC,200,"Meerut, India","{""NarendraModi's"", 'JayaPrada', 'BJP;'}",@GudaRahul @srivatsayb @divyaspandana Yaaah across India #BJP got 31% vote share! Pretty much shows the laaaaaaaaarge  base
7,COLONELAMBROSIA,54,,"{'LokSabhaElections2019', 'LokSabhaElections', 'IN', 'NOTA', 'VoteKar', 'JustSaying', 'BJP'}","#Agerelaxation4EWs in 2014 BJP comes in power then till date all govt dept vacancy is decreased or not filled and many candidate age is over due to lack of job, all job seekers  if govt does not provide age relaxation to ews then please boycott the #BJP"
0,MiranChannel,76,https://www.youtube.com/channe,"{'MONEYLAUNDERING', 'DEMONETISATION', 'BJP..&amp;'}","@soumyajitt @Satyakimishra1 #Bjp vice president subash chauhan irritating on his party supreme, for Losing Bargah Ls seat."
19,Nasreen63823971,0,,"{'WomanEmpowerment.', 'महिला'}",Fantastic Fantastic claim by Syed Shuja. For nothing else you have to give it to his @BJPsoldIndia extreme self confidence and fearlessness. Shuja says he'll live stream demo of how EVMs are hacked and on election day Live stream #BJP 's #EVM manipulation https://t.co/KCKMevB8OD
0,pennewstweet,1368,,"{'uncontested', 'LokSabhaElections2019', 'LokSabhaElection2019', 'assemblyseats', 'BJP', 'AloEast', 'TabaTedir', 'AssemblyElections', 'ArunachalPradesh', 'SirKentoJini', 'RamMadhav'}","BJP victory streak begins before the first phase of voting, candidate elected unopposed in Arunachal

https://t.co/JxeSQKRB83

#BJP #arunachalpradesh"
