retweet_count,user_screen_name,user_followers_count,user_location,hashtags,text
"A,group,residents,including,two,dozen,women,also,met,local,leader,explained,problems,pay,heed,issue","{'LokSabhaElections2019', 'BJP'}"
"It,’,juvenile,campaign,scored,self-goal,Chowkidar,Bisleri,mineral,water,It,’,generic,divorced,ground,realities,I,guess,busy,watching,pathetic,caricature","{'ChowkidarChorHai', 'TimesNow', 'BJP'}"
"leader,Pramod,Sawant,emerged,frontrunner,post,CM,succeed","{'Goa', 'BJP'}"
"win,LokSabha,2019","{'bjp', 'india', 'sports', 'aap', 'news', 'RIPManoharParrikar', 'bsp', 'congress'}"
"It,’,juvenile,campaign,scored,self-goal,Chowkidar,Bisleri,mineral,water,It,’,generic,divorced,ground,realities,I,guess,busy,watching,pathetic,caricature","{'ChowkidarChorHai', 'TimesNow', 'BJP'}"
